DataYear,County,Fuel,MakeName,Model,Class,BodyStyle,VehicleType,Number of Vehicles
2022,Orange,Electric,BYD,Transit Bus 30F,8,Transit Bus,Bus,12
2022,Orange,Electric,BYD,Transit Bus 40F,8,Transit Bus,Bus,40
2022,Orange,Electric,BYD,Transit Bus 60F,8,Transit Bus,Bus,10
2022,Orange,Electric,Greenpower Motor,Ev350,8,Transit Bus,Bus,4
2022,Orange,Electric,Greenpower Motor,Evc210,4,Commercial / Shuttle Bus / Coach,Bus,2
2022,Orange,Electric,Greenpower Motor,Evc210,7,Commercial / Shuttle Bus / Coach,Bus,1
2022,Orange,Electric,Greenpower Motor,Evc210,7,Incomplete - Bus Chassis,Bus,5
2022,Orange,Electric,Greenpower Motor,Evs300,8,School Bus,Bus,2
2022,Orange,Electric,IC Bus,Ce Series,7,School Bus,Bus,18
2022,Orange,Electric,Lion Ebus,Lion C V2,8,School Bus,Bus,4
2022,Orange,Electric,Mitsubishi,Ecanter,4,Straight Truck,Truck,10
2022,Orange,Electric,New Flyer,Xcelsior,8,Transit Bus,Bus,3
2022,Orange,Electric,Orange Ev,Terminal Tractor,8,Terminal Tractor,Truck,4
2022,Orange,Electric,Proterra,Transit Bus 35F,8,Transit Bus,Bus,3
2022,Orange,Electric,Volvo,Vnr,8,Tractor Truck,Truck,4
2022,Orange,Electric,Xos,Sv01,6,Step Van,Delivery Van,5
2022,Orange,Hydrogen,New Flyer,Commercial Bus,8,Transit Bus,Bus,10
2022,Out Of State,Electric,Brightdrop,Zevo 600,3,Delivery Van,Delivery Van,149
2022,Out Of State,Electric,BYD,Electric Truck,8,Tractor Truck,Truck,18
2022,Out Of State,Electric,BYD,Electric Truck,"6, 7, 8",Straight Truck,Truck,1
2022,Out Of State,Electric,BYD,High Floor,8,Coach Bus,Bus,7
2022,Out Of State,Electric,BYD,Low Floor Double Deck,8,Coach Bus,Bus,14
2022,Out Of State,Electric,BYD,Transit Bus,8,Transit Bus,Bus,24
2022,Out Of State,Electric,BYD,Transit Bus 30F,8,Transit Bus,Bus,4
2022,Out Of State,Electric,Freightliner,Ecascadia,8,Chassis & Cab,Truck,4
2022,Out Of State,Electric,Greenpower Motor,Evc210,4,Commercial / Shuttle Bus / Coach,Bus,28
2022,Out Of State,Electric,Kalmar,Ottawa T2E,8,Terminal Tractor,Truck,30
2022,Out Of State,Electric,Mitsubishi,Ecanter,4,Straight Truck,Truck,1
2022,Out Of State,Electric,Orange Ev,Terminal Tractor,8,Terminal Tractor,Truck,4
2022,Out Of State,Electric,Volvo,Conventional Semi-Trailer Truck,8,Tractor Truck,Truck,1
2022,Out Of State,Electric,Volvo,Vnr,7,Chassis & Cab,Truck,1
2022,Out Of State,Electric,Volvo,Vnr,7,Tractor Truck,Truck,4
2022,Out Of State,Electric,Volvo,Vnr,8,Tractor Truck,Truck,9
2022,Out Of State,Electric,Xos,Sa01,6,Step Van,Delivery Van,1
2022,Out Of State,Electric,Xos,Sv01,6,Step Van,Delivery Van,130
2022,Placer,Electric,Lion Ebus,Lion C V2,7,School Bus,Bus,4
2022,Plumas,Electric,Lion Ebus,Lion C V1,7,School Bus,Bus,1
2022,Riverside,Electric,BYD,Transit Bus 40F,8,Transit Bus,Bus,4
2022,Riverside,Electric,Freightliner,B2 106,7,Chassis & Cab,Truck,9
2022,Riverside,Electric,Greenpower Motor,Evc210,4,Commercial / Shuttle Bus / Coach,Bus,2
2022,Riverside,Electric,Greenpower Motor,Evc210,7,Commercial / Shuttle Bus / Coach,Bus,1
2022,Riverside,Electric,IC Bus,Ce Series,7,School Bus,Bus,38
2022,Riverside,Electric,Lion Ebus,Lion C V1,7,School Bus,Bus,2
2022,Riverside,Electric,Orange Ev,Terminal Tractor,8,Terminal Tractor,Truck,2
2022,Riverside,Electric,Xos,Sv01,6,Step Van,Delivery Van,1
2022,Riverside,Hydrogen,New Flyer,Axess,6,Transit Bus,Bus,6
2022,Riverside,Hydrogen,New Flyer,Commercial Bus,8,Transit Bus,Bus,5
2022,Riverside,Hydrogen,New Flyer,Xcelsior,8,Transit Bus,Bus,10
2022,Sacramento,Electric,Blue Bird,All American / All Canadian,6,School Bus,Bus,10
2022,Sacramento,Electric,Blue Bird,All American / All Canadian,8,School Bus,Bus,5
2022,Sacramento,Electric,Greenpower Motor,Evc210,4,Commercial / Shuttle Bus / Coach,Bus,9
2022,Sacramento,Electric,IC Bus,Ce Series,7,School Bus,Bus,6
2022,Sacramento,Electric,Kalmar,Ottawa T2E,8,Terminal Tractor,Truck,1
2022,Sacramento,Electric,Lion Ebus,Lion C V1,7,School Bus,Bus,16
2022,Sacramento,Electric,Lion Ebus,Lion C V2,7,School Bus,Bus,9
2022,Sacramento,Electric,Lion Ebus,Lion C V2,8,School Bus,Bus,16
2022,Sacramento,Electric,Proterra,Catalyst,8,Transit Bus,Bus,16
2022,Sacramento,Electric,Xos,Sa01,6,Step Van,Delivery Van,2
2022,Sacramento,Hydrogen,Gillig,Transit Bus,6,Transit Bus,Bus,3
2022,San Benito,Electric,Lion Ebus,Lion C V2,7,School Bus,Bus,1
2022,San Bernardino,Electric,Blue Bird,All American / All Canadian,6,School Bus,Bus,11
2022,San Bernardino,Electric,Blue Bird,All American / All Canadian,8,School Bus,Bus,5
2022,San Bernardino,Electric,BYD,Electric Truck,"6, 7, 8",Straight Truck,Truck,6
2022,San Bernardino,Electric,Greenpower Motor,Evc210,7,Incomplete - Bus Chassis,Bus,4
2022,San Bernardino,Electric,Greenpower Motor,Evs300,8,School Bus,Bus,2
