Year,Zip Code,Model Year,Fuel,Make,Duty,Vehicles
2016,94612,2010,Battery Electric,OTHER/UNK,Heavy,1
2016,94621,2012,Battery Electric,OTHER/UNK,Heavy,1
2016,94621,2013,Battery Electric,OTHER/UNK,Heavy,1
2016,94621,2015,Battery Electric,OTHER/UNK,Heavy,1
2016,94704,<2007,Battery Electric,OTHER/UNK,Heavy,1
2016,94901,2018,Battery Electric,OTHER/UNK,Heavy,2
2016,94903,2019,Battery Electric,OTHER/UNK,Heavy,2
2016,94952,2013,Battery Electric,OTHER/UNK,Heavy,1
2016,94952,<2007,Battery Electric,OTHER/UNK,Heavy,1
2016,95035,2019,Battery Electric,OTHER/UNK,Heavy,4
2016,95050,<2007,Battery Electric,OTHER/UNK,Heavy,2
2016,95062,2019,Battery Electric,OTHER/UNK,Heavy,1
2016,95112,2018,Battery Electric,OTHER/UNK,Heavy,10
2016,95116,2012,Battery Electric,OTHER/UNK,Heavy,1
2016,95134,2017,Battery Electric,OTHER/UNK,Heavy,5
2016,95202,2018,Battery Electric,OTHER/UNK,Heavy,4
2016,95205,2012,Battery Electric,OTHER/UNK,Heavy,2
2016,95205,2016,Battery Electric,OTHER/UNK,Heavy,10
2016,95205,2018,Battery Electric,OTHER/UNK,Heavy,1
2016,95215,2019,Battery Electric,OTHER/UNK,Heavy,1
2016,95353,2018,Battery Electric,OTHER/UNK,Heavy,1
2016,95354,2018,Battery Electric,OTHER/UNK,Heavy,4
2016,95354,<2007,Battery Electric,OTHER/UNK,Heavy,1
2016,95357,2010,Battery Electric,OTHER/UNK,Heavy,3
2016,95407,2018,Battery Electric,OTHER/UNK,Heavy,1
2016,95448,2018,Battery Electric,OTHER/UNK,Heavy,1
2016,95448,2019,Battery Electric,OTHER/UNK,Heavy,1
2016,95457,2018,Battery Electric,OTHER/UNK,Heavy,1
2016,95476,2019,Battery Electric,OTHER/UNK,Heavy,3
2016,95482,2018,Battery Electric,OTHER/UNK,Heavy,1
2016,95501,2018,Battery Electric,OTHER/UNK,Heavy,1
2016,95519,2019,Battery Electric,OTHER/UNK,Heavy,2
2016,95652,2019,Battery Electric,OTHER/UNK,Heavy,1
2016,95660,2017,Battery Electric,OTHER/UNK,Heavy,8
2016,95660,2018,Battery Electric,OTHER/UNK,Heavy,1
2016,95660,2019,Battery Electric,OTHER/UNK,Heavy,8
2016,95670,2014,Battery Electric,OTHER/UNK,Heavy,1
2016,95672,2018,Battery Electric,OTHER/UNK,Heavy,1
2016,95672,2019,Battery Electric,OTHER/UNK,Heavy,1
2016,95691,2019,Battery Electric,OTHER/UNK,Heavy,4
2016,95747,2019,Battery Electric,OTHER/UNK,Heavy,2
2016,95800,<2007,Battery Electric,OTHER/UNK,Heavy,2
2016,95812,2018,Battery Electric,OTHER/UNK,Heavy,2
2016,95812,<2007,Battery Electric,OTHER/UNK,Heavy,1
2016,95816,2009,Battery Electric,OTHER/UNK,Heavy,1
2016,95816,2015,Battery Electric,Unk,Heavy,16
2016,95816,2018,Battery Electric,OTHER/UNK,Heavy,4
2016,95816,<2007,Battery Electric,Unk,Heavy,17
2016,95827,2012,Battery Electric,OTHER/UNK,Heavy,4
2016,95827,<2007,Battery Electric,OTHER/UNK,Heavy,1
2016,95828,2018,Battery Electric,OTHER/UNK,Heavy,8
2016,95832,<2007,Battery Electric,OTHER/UNK,Heavy,1
2016,95837,2019,Battery Electric,OTHER/UNK,Heavy,5
2016,95852,<2007,Battery Electric,OTHER/UNK,Heavy,1
2016,95928,2019,Battery Electric,OTHER/UNK,Heavy,1
2016,95937,2014,Battery Electric,OTHER/UNK,Heavy,1
2016,95966,2018,Battery Electric,OTHER/UNK,Heavy,1
2016,95968,2018,Battery Electric,OTHER/UNK,Heavy,1
2016,95968,2019,Battery Electric,OTHER/UNK,Heavy,1
2016,95971,2018,Battery Electric,OTHER/UNK,Heavy,1
2016,96001,2019,Battery Electric,OTHER/UNK,Heavy,1
2016,96003,2018,Battery Electric,OTHER/UNK,Heavy,1
2016,96003,2019,Battery Electric,OTHER/UNK,Heavy,2
2016,96056,2018,Battery Electric,OTHER/UNK,Heavy,1
